FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 108 Time= 0.065628 Dt= 8.038e-4 Nodes=5 Cells=2 RMS ERR= 2.238e-9 MAX ERR= 2.238e-9 TIME ERR= 9.875e-4 MEM=721
 +00:00:00| Step 109 Time= 0.066530 Dt= 9.019e-4 Nodes=5 Cells=2 RMS ERR= 1.279e-9 MAX ERR= 1.279e-9 TIME ERR= 0.001258 MEM=721
 +00:00:00| Step 110 Time= 0.067432 Dt= 9.019e-4 Nodes=5 Cells=2 RMS ERR= 2.33e-10 MAX ERR= 2.33e-10 TIME ERR= 0.001163 MEM=721
 +00:00:00| Step 111 Time= 0.068334 Dt= 9.019e-4 Nodes=5 Cells=2 RMS ERR= 1.419e-9 MAX ERR= 1.419e-9 TIME ERR= 0.001125 MEM=721
 +00:00:00| Step 112 Time= 0.069236 Dt= 9.019e-4 Nodes=5 Cells=2 RMS ERR= 2.195e-9 MAX ERR= 2.195e-9 TIME ERR= 0.001064 MEM=721
 +00:00:00| Step 113 Time= 0.070138 Dt= 9.019e-4 Nodes=5 Cells=2 RMS ERR= 2.641e-9 MAX ERR= 2.641e-9 TIME ERR= 9.985e-4 MEM=721
 +00:00:00| Step 114 Time= 0.071150 Dt= 0.001012 Nodes=5 Cells=2 RMS ERR= 4.305e-9 MAX ERR= 4.305e-9 TIME ERR= 0.001267 MEM=721
 +00:00:00| Step 115 Time= 0.072162 Dt= 0.001012 Nodes=5 Cells=2 RMS ERR= 4.865e-9 MAX ERR= 4.865e-9 TIME ERR= 0.001168 MEM=721
 +00:00:00| Step 116 Time= 0.073174 Dt= 0.001012 Nodes=5 Cells=2 RMS ERR= 5.260e-9 MAX ERR= 5.260e-9 TIME ERR= 0.001127 MEM=721
 +00:00:00| Step 117 Time= 0.074186 Dt= 0.001012 Nodes=5 Cells=2 RMS ERR= 5.282e-9 MAX ERR= 5.282e-9 TIME ERR= 0.001065 MEM=721
 +00:00:00| Step 118 Time= 0.075198 Dt= 0.001012 Nodes=5 Cells=2 RMS ERR= 5.405e-9 MAX ERR= 5.405e-9 TIME ERR= 0.001001 MEM=721
 +00:00:00| Step 119 Time= 0.076333 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 8.649e-9 MAX ERR= 8.649e-9 TIME ERR= 0.001275 MEM=723
 +00:00:00| Step 120 Time= 0.077469 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 1.060e-8 MAX ERR= 1.060e-8 TIME ERR= 0.001182 MEM=727
 +00:00:00| Step 121 Time= 0.078604 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 1.318e-8 MAX ERR= 1.318e-8 TIME ERR= 0.001150 MEM=727
 +00:00:00| Step 122 Time= 0.079739 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 1.567e-8 MAX ERR= 1.567e-8 TIME ERR= 0.001099 MEM=727
 +00:00:00| Step 123 Time= 0.080875 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 1.893e-8 MAX ERR= 1.893e-8 TIME ERR= 0.001047 MEM=727
 +00:00:00| Step 124 Time= 0.082010 Dt= 0.001135 Nodes=5 Cells=2 RMS ERR= 2.299e-8 MAX ERR= 2.299e-8 TIME ERR= 0.001001 MEM=727
 +00:00:00| Step 125 Time= 0.083284 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 4.249e-8 MAX ERR= 4.249e-8 TIME ERR= 0.001306 MEM=727
 +00:00:00| Step 126 Time= 0.084558 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 5.727e-8 MAX ERR= 5.727e-8 TIME ERR= 0.001246 MEM=727
 +00:00:00| Step 127 Time= 0.085832 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 7.458e-8 MAX ERR= 7.458e-8 TIME ERR= 0.001252 MEM=727
 +00:00:00| Step 128 Time= 0.087106 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 8.974e-8 MAX ERR= 8.975e-8 TIME ERR= 0.001239 MEM=727
 +00:00:00| Step 129 Time= 0.088380 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 1.069e-7 MAX ERR= 1.069e-7 TIME ERR= 0.001228 MEM=727
 +00:00:00| Step 130 Time= 0.089654 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 1.261e-7 MAX ERR= 1.261e-7 TIME ERR= 0.001222 MEM=727
 +00:00:00| Step 131 Time= 0.090928 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 1.474e-7 MAX ERR= 1.474e-7 TIME ERR= 0.001225 MEM=727
 +00:00:00| Step 132 Time= 0.092203 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 1.708e-7 MAX ERR= 1.709e-7 TIME ERR= 0.001236 MEM=727
 +00:00:00| Step 133 Time= 0.093477 Dt= 0.001274 Nodes=5 Cells=2 RMS ERR= 1.966e-7 MAX ERR= 1.966e-7 TIME ERR= 0.001255 MEM=727
